UKPRN,PROVIDER_NAME,DATASET_ITEM_AFFECTED,WEBSITE_SECTION,NUMBER OF COURSES,DATE,NOTES
10007164,"University of the West of England, Bristol",CONTINUATION,Continuation & degree results,1,04/12/2018,-
10007164,"University of the West of England, Bristol",DEGREECLASS,Continuation & degree results,2,04/12/2018,-
10007164,"University of the West of England, Bristol",EMPLOYMENT,Employment & accreditation,2,04/12/2018,-
10007164,"University of the West of England, Bristol",ENTRY,Entry information,1,04/12/2018,-
10007164,"University of the West of England, Bristol",JOBTYPE,Employment & accreditation,2,04/12/2018,-
10007164,"University of the West of England, Bristol",NSS,Student satisfaction,1,04/12/2018,-
10007164,"University of the West of England, Bristol",SALARY,Employment & accreditation,2,04/12/2018,-
10007164,"University of the West of England, Bristol",TARIFF,Entry information,1,04/12/2018,-
10007164,"University of the West of England, Bristol",COMMON,Employment & accreditation,1,04/12/2018,-
10007164,"University of the West of England, Bristol",KISCOURSE,All sections,8,04/12/2018,-
10007431,West Suffolk College,COMMON,Employment & accreditation,2,04/12/2018,-
10007431,West Suffolk College,CONTINUATION,Continuation & degree results,2,04/12/2018,-
10007431,West Suffolk College,DEGREECLASS,Continuation & degree results,2,04/12/2018,-
10007431,West Suffolk College,EMPLOYMENT,Employment & accreditation,2,04/12/2018,-
10007431,West Suffolk College,ENTRY,Entry information,1,04/12/2018,-
10007431,West Suffolk College,JOBTYPE,Employment & accreditation,2,04/12/2018,-
10007431,West Suffolk College,TARIFF,Entry information,2,04/12/2018,-
10007431,West Suffolk College,KISCOURSE,All sections,2,04/12/2018,-
10007842,University of Cumbria,KISCOURSE,All sections,1,04/12/2018,-
10014001,University of Suffolk,KISCOURSE,All sections,4,04/12/2018,-
10000961,Brunel University London,KISCOURSE,All sections,6,11/12/2018,-
10002852,Halesowen College,KISCOURSE,All sections,1,11/12/2018,-
10004113,Loughborough University,KISCOURSE,All sections,21,11/12/2018,-
10004113,Loughborough University,COMMON,Employment & accreditation,22,11/12/2018,-
10004113,Loughborough University,CONTINUATION,Continuation & degree results,22,11/12/2018,-
10004113,Loughborough University,DEGREECLASS,Continuation & degree results,22,11/12/2018,-
10004113,Loughborough University,EMPLOYMENT,Employment & accreditation,22,11/12/2018,-
10004113,Loughborough University,ENTRY,Entry information,22,11/12/2018,-
10004113,Loughborough University,JOBTYPE,Employment & accreditation,22,11/12/2018,-
10004113,Loughborough University,NHSNSS,Student satisfaction,22,11/12/2018,-
10004113,Loughborough University,NSS,Student satisfaction,22,11/12/2018,-
10004113,Loughborough University,SALARY,Employment & accreditation,26,11/12/2018,-
10004113,Loughborough University,TARIFF,Entry information,22,11/12/2018,-
10004113,Loughborough University,LEO,Employment & accreditation,2,11/12/2018,-
10006299,Staffordshire University,KISCOURSE,All sections,2,11/12/2018,-
10006427,University forThe Creative Arts,KISCOURSE,All sections,1,11/12/2018,-
10007156,The University of Salford,KISCOURSE,All sections,12,11/12/2018,-
10007759,Aston University,KISCOURSE,All sections,9,11/12/2018,-
10007767,Keele University,KISCOURSE,All sections,10,11/12/2018,-
10007816,The Royal Central School of Speech and Drama,KISCOURSE,All sections,14,11/12/2018,-
10000415,Askham Bryan College,CONTINUATION,Continuation & degree results,8,18/12/2018,-
10000610,Bedford College,COMMON AND/OR JOBLIST,Employment & accreditation,12,18/12/2018,-
10000610,Bedford College,EMPLOYMENT,Employment & accreditation,13,18/12/2018,-
10000610,Bedford College,JOBTYPE,Employment & accreditation,14,18/12/2018,-
10000610,Bedford College,SALARY,Employment & accreditation,14,18/12/2018,-
10000610,Bedford College,COMMON,Employment & accreditation,2,18/12/2018,-
10000754,Blackpool and The Fylde College,NSS,Student satisfaction,1,18/12/2018,-
10000820,The Bournemouth and Poole College,NSS,Student satisfaction,2,18/12/2018,-
10000840,Bradford College,NSS,Student satisfaction,25,18/12/2018,-
10000840,Bradford College,NHSNSS,Student satisfaction,8,18/12/2018,-
10000878,Bridgwater and Taunton College,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10001378,Chesterfield College,SALARY,Employment & accreditation,1,18/12/2018,-
10001476,United Colleges Group,EMPLOYMENT,Employment & accreditation,1,18/12/2018,-
10002107,The Windsor Forest Colleges Group,EMPLOYMENT,Employment & accreditation,2,18/12/2018,-
10002899,Harlow College,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10002899,Harlow College,EMPLOYMENT,Employment & accreditation,1,18/12/2018,-
10002899,Harlow College,ENTRY,Entry information,1,18/12/2018,-
10002899,Harlow College,NSS,Student satisfaction,1,18/12/2018,-
10003035,Hertford Regional College,NSS,Student satisfaction,1,18/12/2018,-
10003200,Hull College,SALARY,Employment & accreditation,1,18/12/2018,-
10003558,Kendal College,ENTRY,Entry information,3,18/12/2018,-
10003558,Kendal College,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10003614,The University of Winchester,KISCOURSE,All sections,21,18/12/2018,-
10003674,South Thames Colleges Group,NHSNSS,Student satisfaction,1,18/12/2018,-
10003674,South Thames Colleges Group,NSS,Student satisfaction,1,18/12/2018,-
10003678,Kingston University,KISCOURSE,All sections,9,18/12/2018,-
10003753,Lakes College West Cumbria,KISCOURSE,All sections,3,18/12/2018,-
10003855,Leeds College of Building,COMMON,Employment & accreditation,4,18/12/2018,-
10003855,Leeds College of Building,EMPLOYMENT,Employment & accreditation,4,18/12/2018,-
10003855,Leeds College of Building,JOBTYPE,Employment & accreditation,4,18/12/2018,-
10003855,Leeds College of Building,NSS,Student satisfaction,4,18/12/2018,-
10003855,Leeds College of Building,SALARY,Employment & accreditation,4,18/12/2018,-
10003928,Lincoln College,SALARY,Employment & accreditation,1,18/12/2018,-
10004177,The Growth Company Limited,INSTITUTION,All sections,N/A,18/12/2018,-
10004320,The Metanoia Institute,NSS,Student satisfaction,2,18/12/2018,-
10004599,NCG,SALARY,Employment & accreditation,4,18/12/2018,-
10004599,NCG,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10005124,Plumpton College,CONTINUATION,Continuation & degree results,3,18/12/2018,-
10005343,Queen's University Belfast,NSS,Student satisfaction,1,18/12/2018,-
10005414,Redcar and Cleveland College,CONTINUATION,Continuation & degree results,4,18/12/2018,-
10005414,Redcar and Cleveland College,ENTRY,Entry information,4,18/12/2018,-
10005414,Redcar and Cleveland College,NSS,Student satisfaction,3,18/12/2018,-
10005414,Redcar and Cleveland College,LEO,Employment & accreditation,4,18/12/2018,-
10005414,Redcar and Cleveland College,DEGREECLASS,Continuation & degree results,1,18/12/2018,-
10005414,Redcar and Cleveland College,COMMON,Employment & accreditation,2,18/12/2018,-
10005414,Redcar and Cleveland College,EMPLOYMENT,Employment & accreditation,2,18/12/2018,-
10005414,Redcar and Cleveland College,JOBTYPE,Employment & accreditation,2,18/12/2018,-
10005470,"Richmond, The American International University in London",NSS,Student satisfaction,8,18/12/2018,-
10005534,RNN Group,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10005534,RNN Group,DEGREECLASS,Continuation & degree results,1,18/12/2018,-
10005534,RNN Group,ENTRY,Entry information,1,18/12/2018,-
10005822,Shrewsbury Colleges Group,EMPLOYMENT,Employment & accreditation,4,18/12/2018,-
10005822,Shrewsbury Colleges Group,ENTRY,Entry information,1,18/12/2018,-
10005822,Shrewsbury Colleges Group,TARIFF,Entry information,1,18/12/2018,-
10005999,Tyne Coast College,SALARY,Employment & accreditation,3,18/12/2018,-
10006020,Southampton City College,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10006299,Staffordshire University,KISCOURSE,All sections,2,18/12/2018,-
10006341,Stockton Riverside College,COMMON,Employment & accreditation,2,18/12/2018,-
10006341,Stockton Riverside College,EMPLOYMENT,Employment & accreditation,2,18/12/2018,-
10006341,Stockton Riverside College,JOBTYPE,Employment & accreditation,4,18/12/2018,-
10006341,Stockton Riverside College,LEO,Employment & accreditation,4,18/12/2018,-
10006341,Stockton Riverside College,COMMON AND/OR JOBLIST,Employment & accreditation,2,18/12/2018,-
10006341,Stockton Riverside College,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10006341,Stockton Riverside College,SALARY,Employment & accreditation,2,18/12/2018,-
10006840,The University of Birmingham,NSS,Student satisfaction,2,18/12/2018,-
10006842,The University of Liverpool,NSS,Student satisfaction,6,18/12/2018,-
10006963,New City College,ENTRY,Entry information,1,18/12/2018,-
10007011,Northampton College,NSS,Student satisfaction,2,18/12/2018,-
10007148,The University of Huddersfield,KISCOURSE,All sections,2,18/12/2018,-
10007154,University of Nottingham,NSS,Student satisfaction,6,18/12/2018,-
10007157,The University of Sheffield,KISCOURSE,All sections,4,18/12/2018,-
10007160,The University of Surrey,KISCOURSE,All sections,6,18/12/2018,-
10007775,Queen Mary University of London,KISCOURSE,All sections,2,18/12/2018,-
10007782,"St George's, University of London",NSS,Student satisfaction,2,18/12/2018,-
10007786,The University of Bristol,NSS,Student satisfaction,3,18/12/2018,-
10007795,The University of Leeds,NSS,Student satisfaction,11,18/12/2018,-
10007795,The University of Leeds,DEGREECLASS,Continuation & degree results,2,18/12/2018,-
10007795,The University of Leeds,EMPLOYMENT,Employment & accreditation,2,18/12/2018,-
10007795,The University of Leeds,ENTRY,Entry information,2,18/12/2018,-
10007795,The University of Leeds,TARIFF,Entry information,2,18/12/2018,-
10007795,The University of Leeds,COMMON,Employment & accreditation,1,18/12/2018,-
10007795,The University of Leeds,CONTINUATION,Continuation & degree results,1,18/12/2018,-
10007795,The University of Leeds,JOBTYPE,Employment & accreditation,1,18/12/2018,-
10007795,The University of Leeds,NHSNSS,Student satisfaction,1,18/12/2018,-
10007795,The University of Leeds,SALARY,Employment & accreditation,1,18/12/2018,-
10007795,The University of Leeds,LEO,Employment & accreditation,1,18/12/2018,-
10007795,The University of Leeds,KISCOURSE,All sections,2,18/12/2018,-
10007799,Newcastle University,NSS,Student satisfaction,1,18/12/2018,-
10007817,Chichester College Group,EMPLOYMENT,Employment & accreditation,1,18/12/2018,-
10007859,Warwickshire College,NHSNSS,Student satisfaction,4,18/12/2018,-
10007859,Warwickshire College,NSS,Student satisfaction,9,18/12/2018,-
10007977,Heart of Worcestershire College,NHSNSS,Student satisfaction,3,18/12/2018,-
10007977,Heart of Worcestershire College,NSS,Student satisfaction,7,18/12/2018,-
10080811,Hartpury University,INSTITUTION,All sections,N/A,18/12/2018,-
99999997,Medway School of Pharmacy,KISCOURSE,All sections,1,18/12/2018,-
10002919,Hartpury College,INSTITUTION,All sections,N/A,18/12/2018,-
10007139,University of Worcester,COMMON AND/OR JOBLIST,Employment & accreditation,1,25/12/2018,-
10007139,University of Worcester,CONTINUATION,Continuation & degree results,1,25/12/2018,-
10007139,University of Worcester,DEGREECLASS,Continuation & degree results,1,25/12/2018,-
10007139,University of Worcester,EMPLOYMENT,Employment & accreditation,1,25/12/2018,-
10007139,University of Worcester,KISCOURSE,All sections,28,25/12/2018,-
10007796,The University of Leicester,KISCOURSE,All sections,25,25/12/2018,-
10000886,The University of Brighton,COMMON AND/OR JOBLIST,Employment & accreditation,2,08/01/2019,-
10000886,The University of Brighton,CONTINUATION,Continuation & degree results,1,08/01/2019,-
10000886,The University of Brighton,DEGREECLASS,Continuation & degree results,2,08/01/2019,-
10000886,The University of Brighton,EMPLOYMENT,Employment & accreditation,4,08/01/2019,-
10000886,The University of Brighton,ENTRY,Entry information,1,08/01/2019,-
10000886,The University of Brighton,JOBTYPE,Employment & accreditation,4,08/01/2019,-
10000886,The University of Brighton,NSS,Student satisfaction,2,08/01/2019,-
10000886,The University of Brighton,SALARY,Employment & accreditation,5,08/01/2019,-
10000886,The University of Brighton,TARIFF,Entry information,1,08/01/2019,-
10000886,The University of Brighton,KISCOURSE,All sections,8,08/01/2019,-
10004078,London South Bank University,KISCOURSE,All sections,5,08/01/2019,-
10004180,The Manchester Metropolitan University,COMMON AND/OR JOBLIST,Employment & accreditation,3,08/01/2019,-
10004180,The Manchester Metropolitan University,EMPLOYMENT,Employment & accreditation,3,08/01/2019,-
10004180,The Manchester Metropolitan University,JOBTYPE,Employment & accreditation,3,08/01/2019,-
10004180,The Manchester Metropolitan University,SALARY,Employment & accreditation,6,08/01/2019,-
10004180,The Manchester Metropolitan University,KISCOURSE,All sections,55,08/01/2019,-
10007149,The University of Hull,COMMON AND/OR JOBLIST,Employment & accreditation,3,08/01/2019,-
10007149,The University of Hull,DEGREECLASS,Continuation & degree results,3,08/01/2019,-
10007149,The University of Hull,EMPLOYMENT,Employment & accreditation,3,08/01/2019,-
10007149,The University of Hull,JOBTYPE,Employment & accreditation,3,08/01/2019,-
10007149,The University of Hull,SALARY,Employment & accreditation,3,08/01/2019,-
10007149,The University of Hull,KISCOURSE,All sections,31,08/01/2019,-
10007166,The University of Wolverhampton,COMMON,Employment & accreditation,49,08/01/2019,-
10007166,The University of Wolverhampton,CONTINUATION,Continuation & degree results,41,08/01/2019,-
10007166,The University of Wolverhampton,DEGREECLASS,Continuation & degree results,63,08/01/2019,-
10007166,The University of Wolverhampton,EMPLOYMENT,Employment & accreditation,63,08/01/2019,-
10007166,The University of Wolverhampton,ENTRY,Entry information,41,08/01/2019,-
10007166,The University of Wolverhampton,JOBTYPE,Employment & accreditation,49,08/01/2019,-
10007166,The University of Wolverhampton,NSS,Student satisfaction,35,08/01/2019,-
10007166,The University of Wolverhampton,SALARY,Employment & accreditation,39,08/01/2019,-
10007166,The University of Wolverhampton,TARIFF,Entry information,32,08/01/2019,-
10007166,The University of Wolverhampton,LEO,Employment & accreditation,31,08/01/2019,-
10007166,The University of Wolverhampton,KISCOURSE,All sections,10,08/01/2019,-
10007760,Birkbeck College,KISCOURSE,All sections,9,08/01/2019,-
10007760,Birkbeck College,CONTINUATION,Continuation & degree results,1,08/01/2019,-
10007798,The University of Manchester,KISCOURSE,All sections,13,08/01/2019,-
10007801,University of Plymouth,KISCOURSE,All sections,33,08/01/2019,-
10014001,University of Suffolk,KISCOURSE,All sections,4,08/01/2019,-
10046802,Academy of Music and Sound Exeter,INSTITUTION,All sections,N/A,08/01/2019,-
10081783,Echo Factory,INSTITUTION,All sections,N/A,08/01/2019,-
10022944,Stratford College London Limited,INSTITUTION,All sections,N/A,08/01/2019,-
10001726,Coventry University,SALARY,Employment & accreditation,7,15/01/2019,-
10001726,Coventry University,COMMON,Employment & accreditation,3,15/01/2019,-
10001726,Coventry University,CONTINUATION,Continuation & degree results,3,15/01/2019,-
10001726,Coventry University,DEGREECLASS,Continuation & degree results,4,15/01/2019,-
10001726,Coventry University,EMPLOYMENT,Employment & accreditation,6,15/01/2019,-
10001726,Coventry University,ENTRY,Entry information,5,15/01/2019,-
10001726,Coventry University,JOBTYPE,Employment & accreditation,6,15/01/2019,-
10001726,Coventry University,NHSNSS,Student satisfaction,3,15/01/2019,-
10001726,Coventry University,NSS,Student satisfaction,6,15/01/2019,-
10001726,Coventry University,LEO,Employment & accreditation,1,15/01/2019,-
10001726,Coventry University,TARIFF,Entry information,5,15/01/2019,-
10001726,Coventry University,COMMON AND/OR JOBLIST,Employment & accreditation,4,15/01/2019,-
10001726,Coventry University,KISCOURSE,All sections,20,15/01/2019,-
10003614,The University of Winchester,KISCOURSE,All sections,4,15/01/2019,-
10003645,King's College London,KISCOURSE,All sections,4,15/01/2019,-
10003678,Kingston University,KISCOURSE,All sections,8,15/01/2019,-
10003678,Kingston University,ENTRY,Entry information,1,15/01/2019,-
10003678,Kingston University,TARIFF,Entry information,1,15/01/2019,-
10007148,The University of Huddersfield,KISCOURSE,All sections,2,15/01/2019,-
10004116,East Coast College,EMPLOYMENT,Employment & accreditation,1,22/01/2019,-
10004116,East Coast College,ENTRY,Entry information,1,22/01/2019,-
10004116,East Coast College,KISCOURSE,All sections,1,22/01/2019,-
10007149,The University of Hull,KISCOURSE,All sections,2,22/01/2019,-
10007162,"University of the Arts, London",KISCOURSE,All sections,27,22/01/2019,-
10007816,The Royal Central School of Speech and Drama,KISCOURSE,All sections,11,22/01/2019,-
10007855,Swansea University,KISCOURSE,All sections,32,22/01/2019,-
10007855,Swansea University,COMMON,Employment & accreditation,14,22/01/2019,-
10007855,Swansea University,JOBTYPE,Employment & accreditation,14,22/01/2019,-
10007855,Swansea University,SALARY,Employment & accreditation,41,22/01/2019,-
10007855,Swansea University,NHSNSS,Student satisfaction,4,22/01/2019,-
10007855,Swansea University,CONTINUATION,Continuation & degree results,1,22/01/2019,-
10007855,Swansea University,DEGREECLASS,Continuation & degree results,1,22/01/2019,-
10007855,Swansea University,EMPLOYMENT,Employment & accreditation,1,22/01/2019,-
10007855,Swansea University,ENTRY,Entry information,1,22/01/2019,-
10007855,Swansea University,NSS,Student satisfaction,1,22/01/2019,-
10007855,Swansea University,TARIFF,Entry information,1,22/01/2019,-
10007858,University of Wales Trinity Saint David,CONTINUATION,Continuation & degree results,1,22/01/2019,-
10007858,University of Wales Trinity Saint David,DEGREECLASS,Continuation & degree results,5,22/01/2019,-
10007858,University of Wales Trinity Saint David,ENTRY,Entry information,5,22/01/2019,-
10007858,University of Wales Trinity Saint David,NSS,Student satisfaction,5,22/01/2019,-
10007858,University of Wales Trinity Saint David,TARIFF,Entry information,7,22/01/2019,-
10007858,University of Wales Trinity Saint David,COMMON AND/OR JOBLIST,Employment & accreditation,6,22/01/2019,-
10007858,University of Wales Trinity Saint David,EMPLOYMENT,Employment & accreditation,4,22/01/2019,-
10007858,University of Wales Trinity Saint David,JOBTYPE,Employment & accreditation,4,22/01/2019,-
10007858,University of Wales Trinity Saint David,SALARY,Employment & accreditation,6,22/01/2019,-
10007858,University of Wales Trinity Saint David,KISCOURSE,All sections,51,22/01/2019,-
10000536,Barnsley College,EMPLOYMENT,Employment & accreditation,2,29/01/2019,-
10001143,Canterbury Christ Church University,KISCOURSE,All sections,85,29/01/2019,-
10001778,Croydon College,DEGREECLASS,Continuation & degree results,2,29/01/2019,-
10001778,Croydon College,ENTRY,Entry information,5,29/01/2019,-
10001778,Croydon College,EMPLOYMENT,Employment & accreditation,2,29/01/2019,-
10001778,Croydon College,COMMON,Employment & accreditation,1,29/01/2019,-
10001778,Croydon College,JOBTYPE,Employment & accreditation,1,29/01/2019,-
10001778,Croydon College,NSS,Student satisfaction,1,29/01/2019,-
10003200,Hull College,SALARY,Employment & accreditation,1,29/01/2019,-
10003558,Kendal College,EMPLOYMENT,Employment & accreditation,1,29/01/2019,-
10004552,Nelson and Colne College,CONTINUATION,Continuation & degree results,2,29/01/2019,-
10004552,Nelson and Colne College,NSS,Student satisfaction,2,29/01/2019,-
10004552,Nelson and Colne College,LEO,Employment & accreditation,1,29/01/2019,-
10005414,Redcar and Cleveland College,KISCOURSE,All sections,4,29/01/2019,-
10006341,Stockton Riverside College,KISCOURSE,All sections,4,29/01/2019,-
10007160,The University of Surrey,KISCOURSE,All sections,2,29/01/2019,-
10007161,Teesside University,KISCOURSE,All sections,35,29/01/2019,-
10007776,Roehampton University,KISCOURSE,All sections,11,29/01/2019,-
10007776,Roehampton University,COMMON,Employment & accreditation,2,29/01/2019,-
10007776,Roehampton University,CONTINUATION,Continuation & degree results,2,29/01/2019,-
10007776,Roehampton University,DEGREECLASS,Continuation & degree results,2,29/01/2019,-
10007776,Roehampton University,EMPLOYMENT,Employment & accreditation,2,29/01/2019,-
10007776,Roehampton University,ENTRY,Entry information,2,29/01/2019,-
10007776,Roehampton University,JOBTYPE,Employment & accreditation,2,29/01/2019,-
10007776,Roehampton University,NHSNSS,Student satisfaction,1,29/01/2019,-
10007776,Roehampton University,NSS,Student satisfaction,2,29/01/2019,-
10007776,Roehampton University,SALARY,Employment & accreditation,2,29/01/2019,-
10007776,Roehampton University,LEO,Employment & accreditation,1,29/01/2019,-
10007776,Roehampton University,TARIFF,Entry information,2,29/01/2019,-
10007792,The University of Exeter,KISCOURSE,All sections,5,29/01/2019,-
10000093,Accrington and Rossendale College,INSTITUTION,All sections,N/A,29/01/2019,-
10003614,The University of Winchester,KISCOURSE,All sections,2,05/02/2019,-
10003863,Leeds Trinity University,KISCOURSE,All sections,37,05/02/2019,-
10004078,London South Bank University,KISCOURSE,All sections,32,05/02/2019,-
10004116,East Coast College,KISCOURSE,All sections,1,05/02/2019,-
10007431,West Suffolk College,KISCOURSE,All sections,2,05/02/2019,-
10007811,Bishop Grosseteste University,KISCOURSE,All sections,1,05/02/2019,-
10009614,Grŵp NPTC Group,KISCOURSE,All sections,2,05/02/2019,-
10014001,University of Suffolk,KISCOURSE,All sections,22,05/02/2019,-
10000291,Anglia Ruskin University,ENTRY,Entry information,1,12/02/2019,-
10000291,Anglia Ruskin University,NSS,Student satisfaction,1,12/02/2019,-
10000291,Anglia Ruskin University,TARIFF,Entry information,1,12/02/2019,-
10000291,Anglia Ruskin University,KISCOURSE,All sections,9,12/02/2019,-
10000886,The University of Brighton,KISCOURSE,All sections,6,12/02/2019,-
10003614,The University of Winchester,KISCOURSE,All sections,1,12/02/2019,-
10003863,Leeds Trinity University,KISCOURSE,All sections,9,12/02/2019,-
10004048,London Metropolitan University,DEGREECLASS,Continuation & degree results,6,12/02/2019,-
10004048,London Metropolitan University,EMPLOYMENT,Employment & accreditation,6,12/02/2019,-
10004048,London Metropolitan University,KISCOURSE,All sections,50,12/02/2019,-
10004048,London Metropolitan University,COMMON AND/OR JOBLIST,Employment & accreditation,2,12/02/2019,-
10004048,London Metropolitan University,CONTINUATION,Continuation & degree results,2,12/02/2019,-
10004048,London Metropolitan University,ENTRY,Entry information,2,12/02/2019,-
10004048,London Metropolitan University,JOBTYPE,Employment & accreditation,2,12/02/2019,-
10004048,London Metropolitan University,SALARY,Employment & accreditation,2,12/02/2019,-
10004351,Middlesex University,COMMON AND/OR JOBLIST,Employment & accreditation,6,12/02/2019,-
10004351,Middlesex University,CONTINUATION,Continuation & degree results,6,12/02/2019,-
10004351,Middlesex University,DEGREECLASS,Continuation & degree results,6,12/02/2019,-
10004351,Middlesex University,EMPLOYMENT,Employment & accreditation,6,12/02/2019,-
10004351,Middlesex University,JOBTYPE,Employment & accreditation,6,12/02/2019,-
10004351,Middlesex University,NSS,Student satisfaction,6,12/02/2019,-
10004351,Middlesex University,SALARY,Employment & accreditation,14,12/02/2019,-
10004351,Middlesex University,ENTRY,Entry information,3,12/02/2019,-
10004351,Middlesex University,TARIFF,Entry information,5,12/02/2019,-
10004351,Middlesex University,KISCOURSE,All sections,6,12/02/2019,-
10007160,The University of Surrey,KISCOURSE,All sections,1,12/02/2019,-
10007760,Birkbeck College,CONTINUATION,Continuation & degree results,73,12/02/2019,-
10007760,Birkbeck College,NHSNSS,Student satisfaction,22,12/02/2019,-
10007760,Birkbeck College,NSS,Student satisfaction,66,12/02/2019,-
10007760,Birkbeck College,DEGREECLASS,Continuation & degree results,70,12/02/2019,-
10007760,Birkbeck College,EMPLOYMENT,Employment & accreditation,47,12/02/2019,-
10007760,Birkbeck College,ENTRY,Entry information,77,12/02/2019,-
10007760,Birkbeck College,COMMON,Employment & accreditation,30,12/02/2019,-
10007760,Birkbeck College,JOBTYPE,Employment & accreditation,33,12/02/2019,-
10007760,Birkbeck College,SALARY,Employment & accreditation,23,12/02/2019,-
10007760,Birkbeck College,TARIFF,Entry information,19,12/02/2019,-
10007760,Birkbeck College,LEO,Employment & accreditation,1,12/02/2019,-
10007760,Birkbeck College,COMMON AND/OR JOBLIST,Employment & accreditation,2,12/02/2019,-
10007796,The University of Leicester,KISCOURSE,All sections,2,12/02/2019,-
10007850,The University of Bath,KISCOURSE,All sections,2,12/02/2019,-
